VehicleName	TimeStamp	POS_X	POS_Y	POS_Z	Q_W	Q_X	Q_Y	Q_Z	ImageFile
Drone1	1750873780158	31.3085	-9.61636	-7.87484	0.99582	0.0645609	0.060811	0.0218251	img_Drone1__0_1750873948764288800.png
Drone1	1750873780437	31.2005	-9.36838	-7.80469	0.997384	0.0532674	0.0439606	0.0213508	img_Drone1__0_1750873949134941500.png
Drone1	1750873780716	31.0248	-9.04321	-7.71089	0.998588	0.0382458	0.0301409	0.021246	img_Drone1__0_1750873949511864200.png
Drone1	1750873781016	30.7978	-8.65481	-7.66859	0.996974	-0.0655142	-0.0361272	0.021133	img_Drone1__0_1750873949881755600.png
Drone1	1750873781304	30.6344	-8.37963	-7.71754	0.99636	-0.0733275	-0.0384439	0.0203021	img_Drone1__0_1750873950253455900.png
Drone1	1750873781574	30.5192	-8.2158	-7.82887	0.998843	0.010667	0.0441848	0.0157198	img_Drone1__0_1750873950617258300.png
Drone1	1750873781853	30.34	-8.04096	-7.99587	0.99859	0.021773	0.0460867	0.0144993	img_Drone1__0_1750873950986416200.png
Drone1	1750873782309	29.9053	-7.69164	-8.2588	0.999406	0.0147778	0.027742	0.0141317	img_Drone1__0_1750873951568916400.png
Drone1	1750873782591	29.5944	-7.45752	-8.30865	0.997283	-0.0445728	-0.0569729	0.013957	img_Drone1__0_1750873951945917200.png
Drone1	1750873782867	29.3674	-7.28741	-8.31037	0.995202	-0.0587077	-0.077091	0.0135539	img_Drone1__0_1750873952322824100.png
Drone1	1750873783158	29.2512	-7.22981	-8.21372	0.982937	-0.153434	-0.101261	0.00622268	img_Drone1__0_1750873952687823900.png
Drone1	1750873783422	29.2828	-7.37673	-8.05994	0.988156	-0.130767	-0.0801461	0.00494017	img_Drone1__0_1750873953059325400.png
Drone1	1750873783680	29.4077	-7.67082	-7.80835	0.993505	-0.0979879	-0.0576738	0.00445179	img_Drone1__0_1750873953427214400.png
Drone1	1750873783974	29.6339	-8.1458	-7.44185	0.999274	-0.0310377	-0.0216499	0.00445119	img_Drone1__0_1750873953796424100.png
Drone1	1750873784280	29.8849	-8.65036	-7.33886	0.993146	0.104627	0.0520151	0.00300727	img_Drone1__0_1750873954196610700.png
Drone1	1750873784532	30.0078	-8.90642	-7.48024	0.994353	0.00368242	0.104979	0.0151183	img_Drone1__0_1750873954541518700.png
Drone1	1750873784814	29.9991	-9.1828	-7.62311	0.992495	-0.0560773	0.106236	0.0228775	img_Drone1__0_1750873954917937300.png
Drone1	1750873785096	29.8294	-9.54094	-7.7468	0.995236	-0.0514076	0.0791857	0.0243329	img_Drone1__0_1750873955286836700.png
Drone1	1750873785402	29.515	-10.0166	-7.82786	0.997608	-0.0369584	0.0529139	0.0247436	img_Drone1__0_1750873955657795100.png
Drone1	1750873785702	29.1425	-10.5177	-7.85287	0.994214	0.0846662	-0.0615812	0.0240542	img_Drone1__0_1750873956047762600.png
Drone1	1750873786011	28.8601	-10.8814	-7.92834	0.989311	0.113116	-0.0886579	0.024681	img_Drone1__0_1750873956453552700.png
Drone1	1750873786248	28.7552	-11.022	-7.96655	0.985164	0.0499	-0.16388	0.0102425	img_Drone1__0_1750873956793267800.png
Drone1	1750873786524	28.91	-11.0856	-8.18147	0.984118	0.00107007	-0.177512	-0.000574163	img_Drone1__0_1750873957167222300.png
Drone1	1750873786830	29.3641	-11.1475	-8.32529	0.991332	-0.00739155	-0.13115	-0.00258359	img_Drone1__0_1750873957555547600.png
Drone1	1750873787118	29.9864	-11.2161	-8.34381	0.995886	-0.00669844	-0.0903229	-0.00291817	img_Drone1__0_1750873957926302000.png
Drone1	1750873787544	31.003	-11.3214	-8.38645	0.988015	0.0156908	0.153526	-0.00305518	img_Drone1__0_1750873958492554900.png
Drone1	1750873787844	31.4391	-11.3653	-8.4921	0.985821	0.0179438	0.166802	-0.0034526	img_Drone1__0_1750873958851303100.png
Drone1	1750873788123	31.6289	-11.3544	-8.58858	0.997583	0.0654174	0.018456	-0.0144026	img_Drone1__0_1750873959217042800.png
Drone1	1750873788405	31.7736	-11.2444	-8.71273	0.998248	0.0562394	-0.00950131	-0.0157663	img_Drone1__0_1750873959591775900.png
Drone1	1750873788681	31.9275	-11.0531	-8.82406	0.998979	0.0407145	-0.0114196	-0.0159213	img_Drone1__0_1750873959957159600.png
Drone1	1750873788972	32.108	-10.7873	-8.92191	0.999846	-0.00165696	0.0077103	-0.0156978	img_Drone1__0_1750873960331899400.png
Drone1	1750873789296	32.2905	-10.5032	-8.91443	0.997123	-0.0623416	0.0405059	-0.0147668	img_Drone1__0_1750873960744218700.png
Drone1	1750873789578	32.3709	-10.3801	-8.98074	0.985192	-0.154169	0.0739987	-0.0123567	img_Drone1__0_1750873961082109100.png
Drone1	1750873789860	32.2856	-10.5853	-9.39358	0.986764	-0.146975	0.0675669	-0.0113774	img_Drone1__0_1750873961452999200.png
Drone1	1750873790133	32.0936	-11.0137	-9.80101	0.992674	-0.109813	0.0491796	-0.0110283	img_Drone1__0_1750873961816830500.png
Drone1	1750873790565	31.6651	-11.9605	-10.2467	0.999362	0.0314249	-0.0133796	-0.0104818	img_Drone1__0_1750873962363904100.png
Drone1	1750873790871	31.3666	-12.6193	-10.3219	0.985521	0.153803	-0.0708754	-0.00835881	img_Drone1__0_1750873962747283000.png
